scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb
smdvlinear_(no mean)_normal_KL12_012912_4_0.0001_1_window_4,smd,1,normal_KL,vlinear,16,2,0.0001,0.48923076923076925,0.4707692307692309,0.47948717948717945,0.524606837606838,0.4923859584859585,49542,4,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6180453901570376,0.48923076923076925,0.6892307692307692,0.7692307692307693,0.8461538461538461,0.4923859584859585,0.01663382958875364,1.0,0.07228148240309495,13.834802037169922,0.393157958984375,18.45849609375,826.7566950321198,4.133783475160599,34273.68676935738,212.59912109375
smdGVAR_(no mean)_normal_KL12_015220_4_0.0001_1_window_4,smd,1,normal_KL,GVAR,128,2,0.0001,0.2246153846153846,0.22512820512820506,0.23687179487179497,0.2781318681318682,0.24542393162393164,623340,4,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3413913033943732,0.2246153846153846,0.3569230769230769,0.4338461538461538,0.556923076923077,0.24542393162393164,0.019309349925798323,1.0,0.08087621762202336,12.364574276625055,2.5819625854492188,26.9921875,338.1578254699707,2.841662398907317,49858.13939561545,78.05517578125
smdcLSTM_(no mean)_normal_KL12_020445_4_0.0001_1_window_4,smd,1,normal_KL,cLSTM,128,2,0.0001,0.39692307692307693,0.3343589743589741,0.34794871794871796,0.44106349206349216,0.3786992673992674,3273510,4,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5157442202478809,0.39692307692307693,0.5661538461538461,0.6215384615384615,0.7476923076923077,0.3786992673992674,0.03726796915982129,1.0,0.07101772455068735,14.080991841498271,12.691558837890625,70.2177734375,2490.157071828842,20.411123539580675,6941.313138654918,282.82568359375
smdtorai_(no mean)_normal_KL12_031801_4_0.0001_1_window_4,smd,1,normal_KL,torai,256,2,0.0001,0.48923076923076925,0.4323076923076923,0.4744615384615387,0.5915152625152624,0.5043857142857142,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6083254290544735,0.48923076923076925,0.6615384615384615,0.7384615384615385,0.8553846153846154,0.5043857142857142,0.051238807211664066,1.0,0,0,0,0,0,0,0,0
smdbaro_(no mean)_normal_KL12_031913_4_0.0001_1_window_4,smd,1,normal_KL,baro,256,2,0.0001,0.52,0.46307692307692316,0.5182051282051281,0.6216007326007328,0.5369553113553114,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6327201623610159,0.52,0.6923076923076923,0.76,0.8523076923076923,0.5369553113553114,0.05171370742972196,1.0,0,0,0,0,0,0,0,0
smdrcd_(no mean)_normal_KL12_031954_4_0.0001_1_window_4,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0,0,0,0,0
smdCUTS_PLUS_(no mean)_normal_KL12_032133_4_0.0001_1_window_4,smd,1,normal_KL,CUTS_PLUS,16,2,0.0001,0.4338461538461538,0.41538461538461546,0.42446153846153833,0.4673833943833946,0.43684798534798536,79014,4,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5482385519377408,0.4338461538461538,0.6123076923076923,0.6584615384615384,0.7353846153846154,0.43684798534798536,0.015557183103854738,1.0,0.06466623379633978,15.46402103993571,0.505523681640625,17.9130859375,4278.704957008362,21.39352478504181,6622.564604176941,417.83447265625
smdvlinear_(no mean)_normal_KL12_051547_6_0.0001_1_window_6,smd,1,normal_KL,vlinear,16,2,0.0001,0.39076923076923076,0.38974358974358947,0.40435897435897444,0.45554578754578773,0.41402905982905985,50314,6,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5314908657086842,0.39076923076923076,0.6184615384615385,0.683076923076923,0.7938461538461539,0.41402905982905985,0.023084399134000434,1.0,0.06993679046630859,14.29862584960545,0.39617919921875,18.5693359375,672.6749432086945,3.3633747160434724,28082.806102291925,320.10693359375
smdGVAR_(no mean)_normal_KL12_053346_6_0.0001_1_window_6,smd,1,normal_KL,GVAR,128,2,0.0001,0.2,0.20666666666666664,0.22297435897435888,0.29518315018315006,0.23626642246642243,1038900,6,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3264248922180595,0.2,0.3476923076923077,0.4246153846153846,0.5846153846153846,0.23626642246642243,0.03326956072158098,1.0,0.0693047362107497,14.42902829842807,4.167198181152344,33.34814453125,265.5621819496155,2.481889550930986,38056.89095413999,111.46142578125
smdcLSTM_(no mean)_normal_KL12_054345_6_0.0001_1_window_6,smd,1,normal_KL,cLSTM,128,2,0.0001,0.37846153846153846,0.28717948717948677,0.28717948717948727,0.3429255189255189,0.3156141636141635,3273510,6,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.46791815415953203,0.37846153846153846,0.47384615384615386,0.5353846153846153,0.6307692307692307,0.3156141636141635,0.02776942044977781,1.0,0.0662863540649414,15.086061288274959,12.691558837890625,69.61669921875,1799.5053761005402,14.169333670082993,6666.015650363802,409.92822265625
