scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer
msdsvlinear_(no mean)_normal_KL16_204254_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,128,0,0.0001,0.04709066305818674,0.14127198917456021,0.2354533152909337,0.2354533152909337,0.18836265223274695,254750,2,0,30,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.18836265223274695,0.06659625435802938,0.0009018759018759019,0.008937568883934589,111.88724954025415,10.67529296875,0,0,0,0,0,0
msdsvlinear_(no mean)_normal_KL16_205611_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,128,0,0.0001,1.0,3.0,5.0,5.0,4.0,254750,2,0,30,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.004948246387850016,0.0,0.0,0.0,0.0,4.0,1.4142135623730951,0.04707792207792208,0.009297294857591242,107.5581677592488,21.72265625,0,0,0,0,0,0
msdsvlinear_(no mean)_normal_KL16_210100_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,128,0,0.0001,1.0,1.0,1.0,1.0,1.0,254750,2,0,30,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.004948246387850016,0.0,0.0,0.0,0.0,1.0,0.0,0.047258297258297256,0.009225981910955361,108.38954700448235,21.72265625,0,0,0,0,0,0
msdsvlinear_(no mean)_normal_KL16_211123_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,128,0,0.0001,0.04709066305818674,0.14127198917456021,0.2354533152909337,0.2354533152909337,0.18836265223274695,254750,2,0,30,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.18836265223274695,0.06659625435802938,0.0009018759018759019,0.010499069977839035,95.24653156048632,21.72265625,0,0,0,0,0,0
msdsvlinear_(no mean)_normal_KL16_211554_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,128,0,0.0001,0.04709066305818674,0.14127198917456021,0.2354533152909337,0.2354533152909337,0.18836265223274695,254750,2,0,200,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.18836265223274695,0.06659625435802938,0.0009018759018759019,0.010590258642634562,94.42640012342775,21.72265625,0,0,0,0,0,0
msdsvlinear_(no mean)_normal_KL16_212950_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,256,0,0.0001,0.04709066305818674,0.14127198917456021,0.2354533152909337,0.2354533152909337,0.18836265223274695,941366,2,0,200,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.18836265223274695,0.06659625435802938,0.0009018759018759019,0.008482734157956286,117.8865188250726,33.7607421875,0,0,0,0,0,0
msdsvlinear_(no mean)_normal_KL16_224101_10_0.0001_7_window_10,msds,7,normal_KL,vlinear,256,0,0.0001,0.04712467274532816,0.14137401823598447,0.23562336372664078,0.23562336372664078,0.1884986909813126,947526,10,0,200,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.1884986909813126,0.06664435131883682,0.0009025270758122744,0.013052280730285122,76.61496260034512,35.7958984375,0,0,0,0,0,0
msdsvlinear_(no mean)_normal_KL17_011225_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,256,0,0.0001,0.9961904761904762,0.9952380952380953,1.0,1.0,0.9984761904761905,941366,2,0,200,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9984761904761905,0.002006791191019564,0.04734848484848485,0.025703866595313662,38.90465258570554,4.343177795410156,33.76611328125,56.24699902534485,0.9374499837557475,9461.838128647381,1752.62255859375,0
msdsvlinear_(no mean)_normal_KL17_013702_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,256,0,0.0001,0.9961904761904762,0.9952380952380953,1.0,1.0,0.9984761904761905,941366,2,0,200,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9984761904761905,0.002006791191019564,0.04734848484848485,0.025438326881045387,39.31076146148276,4.343177795410156,33.76611328125,58.76378417015076,0.979396402835846,9056.59850732235,1752.62255859375,0
msdsvlinear_(no mean)_normal_KL17_014426_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,64,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,112694,2,0,200,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.05904187929062616,16.937130254232372,0.47818756103515625,19.4052734375,186.04391193389893,0.9302195596694947,9535.383241297888,409.6904296875,0
